0,1,2,3,4,5,6,7,8,9,10
,,"GRANJAS MARINAS DE SINALOA, S.A. DE C.V.",,,,,,,,
,,,ESTADO DE POSICIÓN FINANCIERA,,,,,,,
,,,,AL 31 DE DICIEMBRE DE:,,,,,,
,,,,(Cifras expresadas en pesos),,,,,,
ACTIVO,,,,,,,2020,,,2019
Activo Circulante,,,,,,,,,,
,"Efectivo, equivalentes de efectivo",,,,,,,,,
,y efectivo restringido,,,,,$,2.667 111,,$,748 088
,Clientes,,,,(Nota 4),,4 580 252,,,7 005.560
,Partes Relacionadas,,,,(Nota 8),,63 900 381,,,69 902 517
,Impuetos por recuperar,,,,(Nota 5),,13 187 766,,,14 581 528
,Inventarios,,,,(Nota 6),,72 003 667,,,44 713 081
,Pagos anticipados,,,,,,9 342 890,,,3 288 235
,Otros Activos a corto plazo,,,,,,16 331464,,,8 479 922
,Total de Activo Circulante,,,,,69,182 013 531,,$,148 718 931
Activo Largo Plazo,,,,,,,,,,
,Otros activos intangibles,,,,,$,70 553 458,,$,82 151 245
,,,,,,6999,,,5959,
,Impuesto a la utilidad diferido,,,,(Nota 10),$,20 369 394,,$,20 892 643
,Total de Activo a Largo Plazo,,,,,$ EA,90 922 852,,69,103 043 888
"PROPIEDAD, PLANTA Y EQUIPO",,,,,,,,,,
MENOS: DEPRECIACIÓN ACUMULADA,,,,,,,,,,
,Terrenos,,,,,$,39 561 272,,$ SA,39 561 272
,Edificios,,,,,,103 752 303,,,104 037 009
,Construccion en proceso,,,,,,107 429 505,,,102 591 195
,Maquinaria y equipo,,,,,,30 691 448,,,30 090 620
,Equipo de transporte,,,,,,3 339 759,,,1965 387
,Mobiliario y equipo de oficina,,,,,,489 997,,,593 815
,Equipo de cómputo,,,,,,386 640,,,360.595
,Herramientas,,,,,,,0-,,84 539
,Gastos de Instalacion,,,,,,14 661 316,,,14 661 316
,,,,,,EA,300 312 240,,SA $,293 945 748
,(Menos) Depreciación acumulada,,,,,,48 467 769,,,41 987 328
,"Suma Propiedad, Planta y Equipo Neto",,,,,$,251 844 471,,$,251 958 420
Total de Activo,,,,,,ES $,524 780 854,,EA $,503 721 239
